project_id,repo_name,path_with_namespace,last_activity_at,is_active,activity_status,is_active_by_last_activity,has_mr_activity,mr_count_in_window,merged_mrs,open_mrs,closed_without_merge_mrs,web_url
982,gs-cardpointe-umbrella-helm-poc,ProdDev/cardpointe/gs-cardpointe-umbrella-helm-poc,2026-04-14T20:35:42.356Z,true,active_recent_activity_and_mrs,true,true,138,137,1,0,https://gitlab.ftscc.net/ProdDev/cardpointe/gs-cardpointe-umbrella-helm-poc
632,cardpointe-ui,ProdDev/cardpointe/cardpointe-ui/cardpointe-ui,2026-06-05T21:13:06.864Z,true,active_recent_activity_and_mrs,true,true,75,60,4,11,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-ui/cardpointe-ui
942,digital-app-ui,ProdDev/copilot/cipilot-ui/digital-app-ui,2026-06-05T14:26:26.750Z,true,active_recent_activity_and_mrs,true,true,68,67,0,1,https://gitlab.ftscc.net/ProdDev/copilot/cipilot-ui/digital-app-ui
1052,GWGF,ProdDev/gateway/gateway-qa/GWGF,2026-06-07T00:00:22.591Z,true,active_recent_activity_and_mrs,true,true,66,61,0,5,https://gitlab.ftscc.net/ProdDev/gateway/gateway-qa/GWGF
373,argocd-applicationsets,ProdDev/k8s/argocd-applicationsets,2026-06-04T17:23:13.682Z,true,active_recent_activity_and_mrs,true,true,57,56,1,0,https://gitlab.ftscc.net/ProdDev/k8s/argocd-applicationsets
328,mvn_build,ProdDev/cicd-components/mvn_build,2026-05-08T00:00:21.022Z,true,active_recent_activity_and_mrs,true,true,26,26,0,0,https://gitlab.ftscc.net/ProdDev/cicd-components/mvn_build
439,micros.management.ui,ProdDev/pineapple/micros/micros.management.ui,2026-06-05T05:40:43.848Z,true,active_recent_activity_and_mrs,true,true,23,21,0,2,https://gitlab.ftscc.net/ProdDev/pineapple/micros/micros.management.ui
630,Api Create Merchant Attachment,ProdDev/copilot/copilot-backend/api-create-merchant-attachment,2026-06-04T14:31:41.367Z,true,active_recent_activity_and_mrs,true,true,19,15,0,4,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-create-merchant-attachment
370,micros.management,ProdDev/pineapple/micros/micros.management,2026-06-05T18:48:22.416Z,true,active_recent_activity_and_mrs,true,true,16,16,0,0,https://gitlab.ftscc.net/ProdDev/pineapple/micros/micros.management
871,mvn_deploy,ProdDev/cicd-components/mvn_deploy,2026-05-21T00:53:38.784Z,true,active_recent_activity_and_mrs,true,true,16,16,0,0,https://gitlab.ftscc.net/ProdDev/cicd-components/mvn_deploy
987,gs-poc-umbrella-payment-service,ProdDev/cardpointe/cardpointe-backend/gs-poc-umbrella-payment-service,2026-04-14T19:51:44.787Z,true,active_recent_activity_and_mrs,true,true,15,15,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/gs-poc-umbrella-payment-service
981,cardpointe-helm-umbrella-poc,ProdDev/cardpointe/cardpointe-helm-umbrella-poc,2026-03-11T14:37:13.689Z,true,active_recent_activity_and_mrs,true,true,15,14,0,1,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-helm-umbrella-poc
551,search-stored-customer-event-service,ProdDev/cardpointe/cardpointe-backend/search-stored-customer-event-service,2026-05-09T01:09:25.229Z,true,active_recent_activity_and_mrs,true,true,14,14,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/search-stored-customer-event-service
1022,account-profile-attached-event-service-config,ProdDev/cardpointe/cardpointe-backend-config/account-profile-attached-event-service-config,2026-04-17T18:27:27.061Z,true,active_recent_activity_and_mrs,true,true,14,14,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend-config/account-profile-attached-event-service-config
1009,funding-deposit-events-service,ProdDev/cardpointe/cardpointe-backend/funding-deposit-events-service,2026-05-27T18:39:41.501Z,true,active_recent_activity_and_mrs,true,true,13,13,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/funding-deposit-events-service
506,virtual-terminal-auth-capture-transaction-service,ProdDev/cardpointe/cardpointe-backend/virtual-terminal-auth-capture-transaction-service,2026-05-21T19:15:26.054Z,true,active_recent_activity_and_mrs,true,true,13,13,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/virtual-terminal-auth-capture-transaction-service
761,funded-transaction-service-publisher-tsys,ProdDev/apps/mic/funded-transaction-service-publisher-tsys,2026-06-02T14:58:35.103Z,true,active_recent_activity_and_mrs,true,true,11,11,0,0,https://gitlab.ftscc.net/ProdDev/apps/mic/funded-transaction-service-publisher-tsys
1000,account-profile-attached-event-service,ProdDev/cardpointe/cardpointe-backend/account-profile-attached-event-service,2026-04-17T18:24:24.001Z,true,active_recent_activity_and_mrs,true,true,11,11,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/account-profile-attached-event-service
545,virtual-terminal-verify-transaction-service,ProdDev/cardpointe/cardpointe-backend/virtual-terminal-verify-transaction-service,2026-05-27T20:51:37.946Z,true,active_recent_activity_and_mrs,true,true,10,10,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/virtual-terminal-verify-transaction-service
